number of commands per 100 mm ( a = 1000),25 mm/s,20 mm/s,15 mm/s,10 mm/s,5 mm/s
810,18.0000000000000,18.0000000000000,18.0000000000000,18.1000000000000,24.0500000000000
820,18.1107702762748,18.1107702762748,18.1107702762748,18.2000000000000,24.1000000000000
830,18.2208671582886,18.2208671582886,18.2208671582886,18.3000000000000,24.1500000000000
840,18.3303027798234,18.3303027798234,18.3303027798234,18.4000000000000,24.2000000000000
850,18.4390889145858,18.4390889145858,18.4390889145858,18.5000000000000,24.2500000000000
860,18.5472369909914,18.5472369909914,18.5472369909914,18.6000000000000,24.3000000000000
870,18.6547581061776,18.6547581061776,18.6547581061776,18.7000000000000,24.3500000000000
880,18.7616630392937,18.7616630392937,18.7616630392937,18.8000000000000,24.4000000000000
890,18.8679622641132,18.8679622641132,18.8679622641132,18.9000000000000,24.4500000000000
900,18.9736659610103,18.9736659610103,18.9736659610103,19.0000000000000,24.5000000000000
910,19.0787840283389,19.0787840283389,19.0787840283389,19.1000000000000,24.5500000000000
920,19.1833260932509,19.1833260932509,19.1833260932509,19.2000000000000,24.6000000000000
930,19.2873015219859,19.2873015219859,19.2873015219859,19.3000000000000,24.6500000000000
940,19.3907194296653,19.3907194296653,19.3907194296653,19.4000000000000,24.7000000000000
950,19.4935886896179,19.4935886896179,19.4935886896179,19.5000000000000,24.7500000000000
960,19.5959179422654,19.5959179422654,19.5959179422654,19.6000000000000,24.8000000000000
970,19.6977156035922,19.6977156035922,19.6977156035922,19.7000000000000,24.8500000000000
980,19.7989898732233,19.7989898732233,19.7989898732233,19.8000000000000,24.9000000000000
990,19.8997487421324,19.8997487421324,19.8997487421324,19.9000000000000,24.9500000000000
1000,20.0000000000000,20.0000000000000,20.0000000000000,20.0000000000000,25.0000000000000
